0:0:0:0:0:0:0:1 - - [03/Jan/2022:18:03:57 +0900] "GET /deletebbs.do?seq=65 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Jan/2022:18:03:57 +0900] "GET /bbslist.do HTTP/1.1" 200 2315
0:0:0:0:0:0:0:1 - - [03/Jan/2022:18:04:21 +0900] "GET /index.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Jan/2022:18:04:21 +0900] "GET /login.do HTTP/1.1" 200 2467
0:0:0:0:0:0:0:1 - - [03/Jan/2022:18:04:25 +0900] "POST /loginAf.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Jan/2022:18:04:25 +0900] "GET /login.do HTTP/1.1" 200 2467
0:0:0:0:0:0:0:1 - - [03/Jan/2022:18:04:46 +0900] "POST /loginAf.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Jan/2022:18:04:46 +0900] "GET /bbslist.do HTTP/1.1" 200 2315
0:0:0:0:0:0:0:1 - - [03/Jan/2022:18:04:49 +0900] "GET /bbsdetail.do?seq=2 HTTP/1.1" 200 1804
0:0:0:0:0:0:0:1 - - [03/Jan/2022:18:04:50 +0900] "GET /deletebbs.do?seq=2 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Jan/2022:18:04:50 +0900] "GET /bbslist.do HTTP/1.1" 200 2132
0:0:0:0:0:0:0:1 - - [03/Jan/2022:18:04:52 +0900] "GET /bbsdetail.do?seq=1 HTTP/1.1" 200 1790
0:0:0:0:0:0:0:1 - - [03/Jan/2022:18:04:53 +0900] "GET /deletebbs.do?seq=1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Jan/2022:18:04:53 +0900] "GET /bbslist.do HTTP/1.1" 200 1961
0:0:0:0:0:0:0:1 - - [03/Jan/2022:18:05:13 +0900] "GET /index.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Jan/2022:18:05:13 +0900] "GET /login.do HTTP/1.1" 200 2467
0:0:0:0:0:0:0:1 - - [03/Jan/2022:18:05:22 +0900] "POST /loginAf.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Jan/2022:18:05:22 +0900] "GET /bbslist.do HTTP/1.1" 200 1961
0:0:0:0:0:0:0:1 - - [03/Jan/2022:18:05:54 +0900] "GET /bbswrite.do HTTP/1.1" 200 1372
0:0:0:0:0:0:0:1 - - [03/Jan/2022:18:06:11 +0900] "POST /bbswriteAf.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Jan/2022:18:06:11 +0900] "GET /bbslist.do HTTP/1.1" 200 2198
0:0:0:0:0:0:0:1 - - [03/Jan/2022:18:06:15 +0900] "GET /bbsdetail.do?seq=141 HTTP/1.1" 200 3088
0:0:0:0:0:0:0:1 - - [03/Jan/2022:18:06:28 +0900] "GET /bbswrite.do HTTP/1.1" 200 1372
0:0:0:0:0:0:0:1 - - [03/Jan/2022:18:06:50 +0900] "POST /bbswriteAf.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Jan/2022:18:06:50 +0900] "GET /bbslist.do HTTP/1.1" 200 2443
0:0:0:0:0:0:0:1 - - [03/Jan/2022:18:06:53 +0900] "GET /bbsdetail.do?seq=63 HTTP/1.1" 200 2877
0:0:0:0:0:0:0:1 - - [03/Jan/2022:18:06:54 +0900] "GET /updatebbs.do?seq=63 HTTP/1.1" 200 2520
0:0:0:0:0:0:0:1 - - [03/Jan/2022:18:06:58 +0900] "GET /answer.do?seq=63 HTTP/1.1" 200 2871
